anio,municipio_id,municipio_nombre,genero,cantidad
1996,6007,Adolfo Alsina,masculino,151
1996,6007,Adolfo Alsina,femenino,130
1996,6021,Alberti,masculino,64
1996,6021,Alberti,femenino,56
1996,6028,Almirante Brown,masculino,3778
1996,6028,Almirante Brown,femenino,3651
1996,6077,Arrecifes,masculino,279
1996,6077,Arrecifes,femenino,261
1996,6035,Avellaneda,masculino,3658
1996,6035,Avellaneda,femenino,3588
1996,6042,Ayacucho,masculino,182
1996,6042,Ayacucho,femenino,184
1996,6049,Azul,masculino,597
1996,6049,Azul,femenino,572
1996,6056,Bahía Blanca,masculino,2428
1996,6056,Bahía Blanca,femenino,2213
1996,6063,Balcarce,masculino,374
1996,6063,Balcarce,femenino,348
1996,6070,Baradero,masculino,271
1996,6070,Baradero,femenino,216
1996,6084,Benito Juárez,masculino,143
1996,6084,Benito Juárez,femenino,141
1996,6091,Berazategui,masculino,3054
1996,6091,Berazategui,femenino,3279
1996,6098,Berisso,masculino,521
1996,6098,Berisso,femenino,483
1996,6105,Bolívar,masculino,278
1996,6105,Bolívar,femenino,275
1996,6112,Bragado,masculino,335
1996,6112,Bragado,femenino,301
1996,6126,Campana,masculino,889
1996,6126,Campana,femenino,886
1996,6134,Cañuelas,masculino,406
1996,6134,Cañuelas,femenino,400
1996,6140,Capitán Sarmiento,masculino,105
1996,6140,Capitán Sarmiento,femenino,107
1996,6147,Carlos Casares,masculino,200
1996,6147,Carlos Casares,femenino,171
1996,6154,Carlos Tejedor,masculino,94
1996,6154,Carlos Tejedor,femenino,94
1996,6161,Carmen de Areco,masculino,137
1996,6161,Carmen de Areco,femenino,119
1996,6602,Patagones,masculino,268
1996,6602,Patagones,femenino,254
1996,6168,Castelli,masculino,62
1996,6168,Castelli,femenino,67
1996,6210,Chacabuco,masculino,366
1996,6210,Chacabuco,femenino,368
1996,6218,Chascomús,masculino,265
1996,6218,Chascomús,femenino,259
1996,6224,Chivilcoy,masculino,317
1996,6224,Chivilcoy,femenino,312
1996,6175,Colón,masculino,208
1996,6175,Colón,femenino,206
1996,6119,Brandsen,masculino,398
1996,6119,Brandsen,femenino,346
1996,6189,Coronel Dorrego,masculino,121
1996,6189,Coronel Dorrego,femenino,112
1996,6196,Coronel Pringles,masculino,220
1996,6196,Coronel Pringles,femenino,239
1996,6182,Coronel de Marina Leonardo Rosales,masculino,273
1996,6182,Coronel de Marina Leonardo Rosales,femenino,258
1996,6203,Coronel Suárez,masculino,284
1996,6203,Coronel Suárez,femenino,282
1996,6231,Daireaux,masculino,179
1996,6231,Daireaux,femenino,159
1996,6420,La Costa,masculino,777
1996,6420,La Costa,femenino,734
1996,6238,Dolores,masculino,223
1996,6238,Dolores,femenino,251
1996,6245,Ensenada,masculino,404
1996,6245,Ensenada,femenino,397
1996,6252,Escobar,masculino,2018
1996,6252,Escobar,femenino,1934
1996,6260,Esteban Echeverría,masculino,1637
1996,6260,Esteban Echeverría,femenino,1684
1996,6266,Exaltación de la Cruz,masculino,218
1996,6266,Exaltación de la Cruz,femenino,216
1996,6270,Ezeiza,masculino,1506
1996,6270,Ezeiza,femenino,1416
1996,6274,Florencio Varela,masculino,3044
1996,6274,Florencio Varela,femenino,3064
1996,6277,Florentino Ameghino,masculino,87
1996,6277,Florentino Ameghino,femenino,73
1996,6280,General Alvarado,masculino,326
1996,6280,General Alvarado,femenino,319
1996,6287,General Alvear,masculino,95
1996,6287,General Alvear,femenino,66
1996,6294,General Arenales,masculino,118
1996,6294,General Arenales,femenino,105
1996,6301,General Belgrano,masculino,157
1996,6301,General Belgrano,femenino,162
1996,6308,General Guido,masculino,19
1996,6308,General Guido,femenino,15
1996,6322,General la Madrid,masculino,92
1996,6322,General la Madrid,femenino,101
1996,6329,General las Heras,masculino,122
1996,6329,General las Heras,femenino,128
1996,6336,General Lavalle,masculino,14
1996,6336,General Lavalle,femenino,19
1996,6315,General Juan Madariaga,masculino,176
1996,6315,General Juan Madariaga,femenino,168
1996,6343,General Paz,masculino,96
1996,6343,General Paz,femenino,84
1996,6351,General Pinto,masculino,82
1996,6351,General Pinto,femenino,70
1996,6357,General Pueyrredón,masculino,5443
1996,6357,General Pueyrredón,femenino,5212
1996,6364,General Rodríguez,masculino,1039
1996,6364,General Rodríguez,femenino,959
1996,6371,General San Martín,masculino,2402
1996,6371,General San Martín,femenino,2421
1996,6385,General Viamonte,masculino,149
1996,6385,General Viamonte,femenino,150
1996,6392,General Villegas,masculino,272
1996,6392,General Villegas,femenino,266
1996,6014,Adolfo Gonzales Chaves,masculino,126
1996,6014,Adolfo Gonzales Chaves,femenino,95
1996,6399,Guaminí,masculino,149
1996,6399,Guaminí,femenino,123
1996,6406,Hipólito Yrigoyen,masculino,95
1996,6406,Hipólito Yrigoyen,femenino,55
1996,6408,Hurlingham,masculino,732
1996,6408,Hurlingham,femenino,731
1996,6410,Ituzaingó,masculino,373
1996,6410,Ituzaingó,femenino,364
1996,6412,José C. Paz,masculino,1693
1996,6412,José C. Paz,femenino,1677
1996,6413,Junín,masculino,840
1996,6413,Junín,femenino,815
1996,6427,La Matanza,masculino,7535
